"bootstrap_id","auc"
1,0.961640211640212
2,0.906084656084656
3,0.957671957671958
4,0.900793650793651
5,0.951058201058201
6,0.96031746031746
7,0.914021164021164
8,0.932539682539682
9,0.953703703703704
10,0.968253968253968
11,0.898148148148148
12,0.933862433862434
13,0.939153439153439
14,0.962962962962963
15,0.931216931216931
16,0.875661375661376
17,0.917989417989418
18,0.912698412698413
19,0.986772486772487
20,0.925925925925926
21,0.972222222222222
22,0.850529100529101
23,0.96031746031746
24,0.882275132275132
25,0.962962962962963
26,0.921957671957672
27,0.961640211640212
28,0.91931216931217
29,0.911375661375661
30,0.958994708994709
31,0.941798941798942
32,0.921957671957672
33,0.992063492063492
34,0.939153439153439
35,0.91005291005291
36,0.908730158730159
37,0.873015873015873
38,0.939153439153439
39,0.965608465608466
40,0.948412698412699
41,0.935185185185185
42,0.928571428571429
43,0.891534391534392
44,0.917989417989418
45,0.932539682539683
46,0.896825396825397
47,0.933862433862434
48,0.948412698412698
49,0.986772486772487
50,0.985449735449736
51,0.966931216931217
52,0.932539682539683
53,0.87962962962963
54,0.921957671957672
55,0.902116402116402
56,0.972222222222222
57,0.990740740740741
58,0.931216931216931
59,0.972222222222222
60,0.932539682539682
61,0.927248677248677
62,0.94047619047619
63,0.972222222222222
64,0.978835978835979
65,0.982804232804233
66,0.92063492063492
67,0.928571428571428
68,0.880952380952381
69,0.947089947089947
70,0.990740740740741
71,0.920634920634921
72,0.992063492063492
73,0.965608465608466
74,0.965608465608466
75,0.899470899470899
76,0.952380952380952
77,0.973544973544974
78,0.945767195767196
79,0.972222222222222
80,0.917989417989418
81,0.917989417989418
82,0.933862433862434
83,0.892857142857143
84,0.896825396825397
85,0.908730158730159
86,0.912698412698413
87,0.948412698412698
88,0.973544973544973
89,0.981481481481482
90,0.896825396825397
91,0.948412698412698
92,0.986772486772487
93,0.902116402116402
94,0.951058201058201
95,0.939153439153439
96,0.948412698412699
97,0.941798941798942
98,0.875661375661376
99,0.988095238095238
100,0.916666666666666
101,0.968253968253968
102,0.875661375661376
103,0.947089947089947
104,0.978835978835979
105,0.982804232804233
106,0.944444444444445
107,0.989417989417989
108,0.875661375661376
109,0.973544973544974
110,0.923280423280423
111,0.982804232804233
112,0.947089947089947
113,0.931216931216931
114,0.944444444444445
115,0.952380952380952
116,0.985449735449735
117,0.919312169312169
118,0.937830687830688
119,0.994708994708995
120,0.947089947089947
121,0.941798941798942
122,0.944444444444445
123,0.964285714285714
124,0.925925925925926
125,0.876984126984127
126,0.972222222222222
127,0.898148148148148
128,0.96031746031746
129,0.947089947089947
