"sample_id","avg_norm","study"
"455521",0.228755945584156,"SDY113"
"455522",0.193589856672068,"SDY113"
"455524",0.182359774341497,"SDY113"
"455527",0.166546542632815,"SDY113"
"455540",0.148605639526863,"SDY113"
"455543",0.178100007908377,"SDY113"
"455545",0.155099426569931,"SDY113"
"455550",0.146960843231106,"SDY113"
"455552",0.144761904093196,"SDY113"
"455558",0.151814517562874,"SDY113"
"455578",0.138461003223599,"SDY113"
"455871",0.181942681252899,"SDY311"
"455872",0.183742846376767,"SDY311"
"455873",0.190275036030597,"SDY311"
"455874",0.189905956262702,"SDY311"
"455875",0.197634442698537,"SDY311"
"455876",0.203411264395196,"SDY311"
"455877",0.188270518734957,"SDY311"
"455878",0.192517698844047,"SDY311"
"455879",0.191362593357392,"SDY311"
"455880",0.195470459513065,"SDY311"
"455881",0.197516687207708,"SDY311"
"455882",0.187882897557008,"SDY311"
"455886",0.154152230305364,"SDY311"
"455887",0.156857384356023,"SDY311"
"455888",0.149025095347038,"SDY311"
"455889",0.169751921973867,"SDY311"
"455890",0.168076951689253,"SDY311"
"455891",0.159213292060757,"SDY311"
"455892",0.170954544460825,"SDY311"
"455893",0.165572667960075,"SDY311"
"455894",0.157341730528118,"SDY311"
"455895",0.148739878506788,"SDY311"
"455896",0.156404412420272,"SDY311"
"455897",0.188368954713754,"SDY311"
"455898",0.178061446376156,"SDY311"
"455899",0.165770660779116,"SDY311"
"455900",0.188627804934018,"SDY311"
"455902",0.158574807438391,"SDY311"
"455903",0.163638821720655,"SDY311"
"455904",0.170409892071944,"SDY311"
"455905",0.177898272695899,"SDY311"
"455906",0.162997347331729,"SDY311"
"455907",0.18639955962172,"SDY311"
"455908",0.151227469873148,"SDY311"
"455909",0.193838578113184,"SDY311"
"455910",0.209628587731319,"SDY311"
"455911",0.175874983681126,"SDY311"
"455912",0.171839119389881,"SDY311"
"455913",0.194343408793574,"SDY311"
"455914",0.18306446564891,"SDY311"
"455915",0.157172408493138,"SDY311"
"455916",0.170319577232648,"SDY311"
"455919",0.157602185223617,"SDY311"
"455920",0.181712627479952,"SDY311"
"455921",0.164655616870932,"SDY311"
"455922",0.144818502536966,"SDY311"
"455923",0.183569203001211,"SDY311"
"455924",0.159290312133232,"SDY311"
"455925",0.163112149609563,"SDY311"
"455926",0.151785882123352,"SDY311"
"455927",0.159139468916347,"SDY311"
"455928",0.169523438573066,"SDY311"
"455929",0.168974868742594,"SDY311"
"455930",0.216020640529541,"SDY311"
"455931",0.165445945339288,"SDY311"
"455932",0.164879305956147,"SDY311"
"455933",0.179364424946323,"SDY311"
"455934",0.17061709066434,"SDY311"
"455936",0.157949596646358,"SDY311"
"455937",0.151587575595554,"SDY311"
"455938",0.154612070314522,"SDY311"
"455939",0.163644812388365,"SDY311"
"455940",0.16803380319131,"SDY311"
"455941",0.17645713815205,"SDY311"
"455942",0.142688203596345,"SDY311"
"455943",0.161248306292312,"SDY311"
"455944",0.185063167521079,"SDY311"
"455945",0.169908087305839,"SDY311"
"455946",0.14456001976806,"SDY311"
"455947",0.151095021991247,"SDY311"
"455948",0.147332938887442,"SDY311"
"499681",0.300088471199131,"SDY315"
"499682",0.224476076079486,"SDY315"
"499683",0.20601478402814,"SDY315"
"499684",0.183033774086933,"SDY315"
"499685",0.180989354052898,"SDY315"
"499686",0.192282151179495,"SDY315"
"499687",0.183920990732369,"SDY315"
"499688",0.164357158927767,"SDY315"
"499689",0.162191468592375,"SDY315"
"499690",0.19970225967755,"SDY315"
"499691",0.176177780657633,"SDY315"
"499692",0.151959131580516,"SDY315"
"499693",0.1441102279075,"SDY315"
"499694",0.15472201770092,"SDY315"
"499695",0.160011056612442,"SDY315"
"499696",0.148082970281693,"SDY315"
"499697",0.177080105082223,"SDY315"
"499698",0.153783992940336,"SDY315"
"499699",0.180369936322922,"SDY315"
"499700",0.19232658708923,"SDY315"
"499701",0.198965872147406,"SDY315"
"499702",0.195888593749493,"SDY315"
"499703",0.191813792633859,"SDY315"
"499704",0.207943108285859,"SDY315"
"499705",0.182863814883571,"SDY315"
"499706",0.157358462597827,"SDY315"
"499707",0.151289316811928,"SDY315"
"499708",0.153407850262937,"SDY315"
"499709",0.168966009174694,"SDY315"
"499710",0.16326695929815,"SDY315"
"499711",0.14202478904752,"SDY315"
"499712",0.134428495802567,"SDY315"
"499713",0.168130126429475,"SDY315"
"499714",0.184587199635547,"SDY315"
"499715",0.1459369141745,"SDY315"
"499716",0.216779693964687,"SDY315"
"499717",0.17028131088502,"SDY315"
"499718",0.171206079513015,"SDY315"
"499719",0.211034676929196,"SDY315"
"499720",0.171792953058037,"SDY315"
"499721",0.199649292534821,"SDY315"
"499722",0.164485265279652,"SDY315"
"499723",0.165247608607896,"SDY315"
"499724",0.150099849353828,"SDY315"
"499725",0.160183225832285,"SDY315"
"499726",0.158899629764302,"SDY315"
"499727",0.180641739874665,"SDY315"
"499728",0.152937961231849,"SDY315"
"499729",0.157157695905787,"SDY315"
"499730",0.157406497310282,"SDY315"
"499731",0.159101275546686,"SDY315"
"499732",0.156122550123662,"SDY315"
"499733",0.146308404173016,"SDY315"
"499734",0.243212610821893,"SDY315"
"499735",0.231283328638598,"SDY315"
"499736",0.158907955034763,"SDY315"
"499737",0.205849822623458,"SDY315"
"499738",0.201707252859429,"SDY315"
"499739",0.192474606136054,"SDY315"
"499740",0.189533414129851,"SDY315"
"499742",0.181817365466797,"SDY315"
"499744",0.152696789663088,"SDY315"
"499745",0.164405751325298,"SDY315"
"499746",0.157593144553318,"SDY315"
"499747",0.181289452132101,"SDY315"
"499748",0.161019191246973,"SDY315"
"499749",0.160923389235107,"SDY315"
"504089",0.176318634476136,"SDY112"
"504091",0.183009638483716,"SDY112"
"504092",0.188749098865756,"SDY112"
"504093",0.18885599596897,"SDY112"
"504094",0.191200499135993,"SDY112"
"504095",0.182801801365168,"SDY112"
"504096",0.160072277344209,"SDY112"
"504097",0.187122085725238,"SDY112"
"504098",0.170996017449724,"SDY112"
"504099",0.178155088371066,"SDY112"
"504100",0.172031309490636,"SDY112"
"504101",0.155941574865028,"SDY112"
"504102",0.155221119836464,"SDY112"
"504103",0.176521125264341,"SDY112"
"504104",0.158303203256831,"SDY112"
"504105",0.181164440381109,"SDY112"
"504106",0.197173487419397,"SDY112"
"504107",0.180176748880423,"SDY112"
"504108",0.168412869071031,"SDY112"
"504109",0.139739849096439,"SDY112"
"504110",0.157518194582101,"SDY112"
"504111",0.157568994254701,"SDY112"
"504112",0.148529868176713,"SDY112"
"504113",0.142344555084571,"SDY112"
"504114",0.170846652961929,"SDY112"
"504115",0.146449901526037,"SDY112"
"504116",0.180985828472236,"SDY112"
"504117",0.158675088832156,"SDY112"
"504118",0.154569158861355,"SDY112"
"504119",0.155899879099336,"SDY112"
"504120",0.160584732065748,"SDY112"
"504121",0.171565736564495,"SDY112"
"504122",0.144539087742494,"SDY112"
"504123",0.149536374086062,"SDY112"
"504124",0.16229580688857,"SDY112"
"504125",0.149065883720754,"SDY112"
"504126",0.188407047520062,"SDY112"
"504127",0.158261920456342,"SDY112"
"504128",0.189164410637725,"SDY112"
"504129",0.209394091099283,"SDY112"
"504130",0.180470686817004,"SDY112"
"504131",0.195207026089109,"SDY112"
"504132",0.176918761288725,"SDY112"
"504133",0.170917218983909,"SDY112"
"504134",0.161894096852935,"SDY112"
"504135",0.158859486587526,"SDY112"
"504136",0.188446388038162,"SDY112"
"504137",0.164036011754655,"SDY112"
"504138",0.179947622038556,"SDY112"
"504139",0.170227117043211,"SDY112"
"504140",0.167777101748134,"SDY112"
"504141",0.147186637818454,"SDY112"
"504142",0.160646087716379,"SDY112"
"504143",0.148783528922021,"SDY112"
"504144",0.162601570699997,"SDY112"
"504145",0.170750659774951,"SDY112"
"504146",0.170409591584602,"SDY112"
"504147",0.17162923962729,"SDY112"
"504148",0.169592452341313,"SDY112"
"504149",0.148439352786447,"SDY112"
"504150",0.188314987942687,"SDY112"
"504151",0.149277705556055,"SDY112"
"504152",0.149377481635937,"SDY112"
"504153",0.163269463766514,"SDY112"
"504154",0.177287685018456,"SDY112"
"504155",0.177379829865766,"SDY112"
"504156",0.187051895705826,"SDY112"
"504158",0.158816759180345,"SDY112"
"504159",0.142890422287351,"SDY112"
"504160",0.185547604376589,"SDY112"
"504161",0.145396208863764,"SDY112"
"504162",0.151395555443706,"SDY112"
"504164",0.169788324446206,"SDY112"
"504167",0.156993158446696,"SDY112"
"504168",0.159541371336803,"SDY112"
"504170",0.15789176141925,"SDY112"
"504171",0.182175006207203,"SDY112"
"504172",0.164648595806658,"SDY112"
"504173",0.164098852257297,"SDY112"
"504174",0.182052812645405,"SDY112"
"504175",0.168781015294374,"SDY112"
"511072",0.216046904938702,"SDY305"
"511073",0.16030876950226,"SDY305"
"511074",0.182651775924056,"SDY305"
"511075",0.165175895349303,"SDY305"
"511078",0.156601646371882,"SDY305"
"511079",0.167628017763459,"SDY305"
"511080",0.167695984341297,"SDY305"
"511082",0.154059812590611,"SDY305"
"511083",0.148032941126793,"SDY305"
"511089",0.182955257782722,"SDY305"
"511090",0.149107416887309,"SDY305"
"511091",0.140642155980847,"SDY305"
"511092",0.194150859593282,"SDY305"
"511100",0.237442447388124,"SDY472"
"511101",0.163796354636492,"SDY472"
"511102",0.187235442923866,"SDY472"
"511103",0.17069354656524,"SDY472"
"511104",0.164565443237005,"SDY472"
"511105",0.160449287116678,"SDY472"
"511106",0.161470983229541,"SDY472"
"511107",0.153147937540268,"SDY472"
"511108",0.161068562650708,"SDY472"
"511109",0.177501989575765,"SDY472"
"511110",0.139684302649564,"SDY472"
"511111",0.154899174980255,"SDY472"
"511112",0.147830471632527,"SDY472"
"511113",0.153754046114689,"SDY472"
"511114",0.144370484233809,"SDY472"
"511115",0.144618963225431,"SDY472"
"511118",0.151309640814017,"SDY472"
"511119",0.151942840282155,"SDY472"
"511120",0.155580277807692,"SDY472"
"511121",0.16070326692206,"SDY472"
"511122",0.143285963187065,"SDY472"
"521437",0.163642818213556,"SDY478"
"521438",0.243439222920398,"SDY478"
"521439",0.198167656987886,"SDY478"
"521440",0.186739705133276,"SDY478"
"521441",0.193330060023595,"SDY478"
"521442",0.205059417821086,"SDY478"
"521443",0.151574549995466,"SDY478"
"521444",0.144899205627986,"SDY478"
"521445",0.161802806341667,"SDY478"
"521446",0.176551726030265,"SDY478"
"521447",0.197331402483024,"SDY478"
"521448",0.163859453496337,"SDY478"
"521449",0.176339552633119,"SDY478"
"521450",0.151432051942784,"SDY478"
"521451",0.167777606046919,"SDY478"
"521452",0.149451944845754,"SDY478"
"521453",0.156815103250254,"SDY478"
"521454",0.166411258246118,"SDY478"
"521455",0.209517668118972,"SDY478"
"521456",0.212321622887764,"SDY478"
"521457",0.1965794156572,"SDY478"
"521458",0.197109667627495,"SDY478"
"521459",0.16277424262289,"SDY478"
"521460",0.171706463591277,"SDY478"
"521461",0.147959267647619,"SDY478"
"521462",0.166196586694219,"SDY478"
"521463",0.18540062346262,"SDY478"
"521464",0.170068080979218,"SDY478"
"521465",0.169251779248329,"SDY478"
"521466",0.154172043737316,"SDY478"
"521467",0.133798863022388,"SDY478"
"521468",0.15679328170382,"SDY478"
"521469",0.192773289583284,"SDY478"
"521470",0.154832509231539,"SDY478"
"521471",0.214325614891857,"SDY478"
"521472",0.217159005725753,"SDY478"
"521473",0.157657419833815,"SDY478"
"521474",0.209296344141627,"SDY478"
"521475",0.240971514665756,"SDY478"
"521476",0.197439559166079,"SDY478"
"521477",0.221267718706882,"SDY478"
"521478",0.160919047328852,"SDY478"
"521479",0.186273453939458,"SDY478"
"521480",0.20299002532277,"SDY478"
"521481",0.181450946808438,"SDY478"
"521482",0.20798843146601,"SDY478"
"521483",0.179403867007768,"SDY478"
"521484",0.17278135056985,"SDY478"
"521485",0.148690547323681,"SDY478"
"521486",0.160290757068072,"SDY478"
"521487",0.159274015802697,"SDY478"
"521488",0.157939609999566,"SDY478"
"521489",0.172034922649601,"SDY478"
"521490",0.180239712818463,"SDY478"
"521491",0.171549327091513,"SDY478"
"521492",0.173645398571178,"SDY478"
"521493",0.183546308391815,"SDY478"
"521494",0.190190496990557,"SDY478"
"521495",0.178963964868675,"SDY478"
"521496",0.161205507817968,"SDY478"
"521497",0.144036047945514,"SDY478"
"521498",0.156545702567269,"SDY478"
"521499",0.146860478351766,"SDY478"
"521500",0.159390188621152,"SDY478"
"521501",0.176433455924609,"SDY478"
"521502",0.151416715153891,"SDY478"
"521503",0.142632852060872,"SDY478"
"521504",0.175571827432215,"SDY478"
"521505",0.180913206289799,"SDY478"
"521895",0.22036737197984,"SDY515"
"521896",0.162723020524499,"SDY515"
"521897",0.15809068923267,"SDY515"
"521898",0.168240995929159,"SDY515"
"521899",0.148439566122497,"SDY515"
"521900",0.156722504962592,"SDY515"
"521901",0.181372000542076,"SDY515"
"521902",0.153214271393744,"SDY515"
"521903",0.170274728559024,"SDY515"
"521905",0.151405600695092,"SDY515"
"521906",0.159126734417051,"SDY515"
"521907",0.201477076592091,"SDY515"
"521908",0.16783537022442,"SDY515"
"521909",0.202136894478414,"SDY515"
"521911",0.172201081685583,"SDY515"
"521912",0.154815143755296,"SDY515"
"521913",0.149078459594682,"SDY515"
"521914",0.140914446912731,"SDY515"
"521915",0.184299515924457,"SDY515"
"521916",0.160079652308671,"SDY515"
"521917",0.172859032684596,"SDY515"
"521918",0.21315057074454,"SDY515"
"521919",0.178667413152101,"SDY515"
"521920",0.160505352405844,"SDY515"
"521921",0.167751416018107,"SDY515"
"521922",0.158426131101163,"SDY515"
"521923",0.134785691433954,"SDY515"
"521924",0.169658946172785,"SDY515"
"521925",0.168045091239827,"SDY515"
"521926",0.172109847434065,"SDY515"
"521927",0.171206179284803,"SDY515"
"521928",0.150122252778735,"SDY515"
"521929",0.144625833502126,"SDY515"
"521930",0.141760312399387,"SDY515"
"521931",0.135772647768633,"SDY515"
"521932",0.14570997993925,"SDY515"
"521933",0.146481613943877,"SDY515"
"521934",0.155612861323349,"SDY515"
"521935",0.155915187187996,"SDY515"
"521936",0.172562548443469,"SDY515"
"521937",0.153274554229418,"SDY515"
"521938",0.15383409937366,"SDY515"
"521939",0.139738444626121,"SDY515"
"521940",0.145551633068287,"SDY515"
"521941",0.140081818341078,"SDY515"
"521942",0.154319799051634,"SDY515"
"521943",0.177019283375464,"SDY515"
"521944",0.160651281950534,"SDY515"
"521945",0.143175117689454,"SDY515"
"521946",0.161002537186615,"SDY515"
"521947",0.149831437514439,"SDY515"
"521948",0.15518321866006,"SDY515"
"521949",0.146575954687355,"SDY515"
"521950",0.148449922435427,"SDY515"
"521951",0.157955220990892,"SDY515"
"521952",0.14902415489897,"SDY515"
"521953",0.149672769010081,"SDY515"
"521954",0.143005689699845,"SDY515"
"521955",0.148822268183209,"SDY515"
"521956",0.171986040082201,"SDY515"
"521957",0.158151955656385,"SDY515"
"521958",0.174736122000251,"SDY515"
"521959",0.152446547351398,"SDY515"
"521960",0.165048404850381,"SDY515"
"521961",0.13492817869096,"SDY515"
"521962",0.164352774604011,"SDY515"
"521963",0.15664829079683,"SDY515"
"521964",0.167598053686913,"SDY515"
"521965",0.139805466832604,"SDY515"
"521966",0.15505674069267,"SDY515"
"521967",0.172031960759857,"SDY515"
"521968",0.151746789338933,"SDY515"
"521969",0.154598555563214,"SDY515"
"521970",0.16882669621011,"SDY515"
"521971",0.163373058906299,"SDY515"
"521972",0.151187478257537,"SDY515"
"521973",0.154579271702691,"SDY515"
"521974",0.193492463973796,"SDY515"
"521975",0.20175542284384,"SDY515"
