"tier","n_ref","repeat_id","ari","auc_both","auc_prop","auc_mean","recon_mse","ref_samples"
"Top 10%",2,1,0.857399105988769,0.675,0.595238095238095,0.678571428571428,0.00276662037268409,"804, 276"
"Top 10%",2,2,0.841163959261561,0.708333333333333,0.726190476190476,0.663095238095238,0.00310379533439426,"264, 591"
"Top 10%",2,3,0.843963882531449,0.788095238095238,0.755952380952381,0.663095238095238,0.00307809557198735,"591, 307"
"Top 10%",2,4,0.834946693137588,0.725,0.646428571428571,0.689285714285715,0.00297149488853328,"501, 791"
"Top 10%",2,5,0.853630675266687,0.720238095238095,0.736904761904762,0.682142857142857,0.0029890034940646,"264, 804"
"Top 10%",2,6,0.84923032053974,0.683333333333333,0.584523809523809,0.639285714285714,0.00304590180472477,"739, 89"
"Top 10%",2,7,0.844440021919169,0.691666666666667,0.685714285714286,0.639285714285714,0.00280108757265103,"791, 586"
"Top 10%",2,8,0.794664508077264,0.686904761904762,0.675,0.675,0.00234681836870211,"739, 501"
"Top 10%",2,9,0.795976591760061,0.660714285714286,0.648809523809524,0.639285714285714,0.00276598027404305,"501, 737"
"Top 10%",2,10,0.610526323239193,0.728571428571429,0.757142857142857,0.654761904761905,0.0025645920925959,"791, 307"
"Top 10%",2,11,0.875388130549851,0.689285714285715,0.66547619047619,0.678571428571428,0.00306891061274543,"89, 804"
"Top 10%",2,12,0.84903424613259,0.804761904761905,0.688095238095238,0.796428571428572,0.00286574013290484,"276, 89"
"Top 10%",2,13,0.854299206876705,0.73452380952381,0.710714285714286,0.695238095238095,0.00278140153116482,"501, 591"
"Top 10%",2,14,0.856859065670019,0.680952380952381,0.639285714285714,0.651190476190476,0.00301115815873749,"276, 591"
"Top 10%",2,15,0.866186381769803,0.635714285714286,0.691666666666667,0.605952380952381,0.00253582014053606,"586, 501"
"Top 10%",2,16,0.841267887474507,0.65952380952381,0.746428571428572,0.478571428571428,0.00291943021374006,"264, 791"
"Top 10%",2,17,0.85212318110506,0.632142857142857,0.711904761904762,0.577380952380952,0.00287352042267079,"591, 804"
"Top 10%",2,18,0.847309345996093,0.65,0.644047619047619,0.622619047619047,0.00277353601827812,"276, 739"
"Top 10%",2,19,0.843963882531449,0.788095238095238,0.755952380952381,0.663095238095238,0.00307809557198735,"591, 307"
"Top 10%",2,20,0.842569029547184,0.670238095238095,0.680952380952381,0.630952380952381,0.00274400418149396,"791, 276"
