"tier","n_ref","repeat_id","auc_both","auc_prop","auc_mean","recon_mse","mean_r2","mean_cv","mean_sd_change","ref_samples"
"Top 10%",2,1,0.904761904761905,0.866402116402116,0.863756613756613,0.00480093115366951,0.456532359113898,0.885155853457336,0.0132755859187887,"521932, 504112"
"Top 10%",2,2,0.911375661375661,0.900793650793651,0.891534391534391,0.00486408794463242,0.490957398493724,0.877836283336071,0.014781912090953,"504159, 499715"
"Top 10%",2,3,0.888888888888889,0.927248677248678,0.838624338624339,0.00490078857536761,0.466125887214543,0.861742909814055,0.0166454589623292,"521931, 504122"
"Top 10%",2,4,0.882275132275132,0.777777777777777,0.798941798941799,0.00407252887020544,0.471850682323785,0.874674635037958,0.0134490646695611,"521497, 521914"
"Top 10%",2,5,0.771164021164021,0.892857142857143,0.674603174603175,0.00529060435422334,0.473758543863162,0.842236576102694,0.0205123602103715,"521954, 521961"
"Top 10%",2,6,0.843915343915344,0.841269841269841,0.793650793650794,0.00432927102443626,0.460398451616711,0.865857923090386,0.015597001330479,"455552, 455922"
"Top 10%",2,7,0.879629629629629,0.87037037037037,0.845238095238095,0.00470256538532376,0.499645309956661,0.847585174642765,0.0171308663609011,"455578, 499712"
"Top 10%",2,8,0.900793650793651,0.746031746031746,0.866402116402117,0.004484387983352,0.51099410785341,0.887422895074096,0.0120211772867751,"455922, 521497"
"Top 10%",2,9,0.742063492063492,0.847883597883598,0.711640211640212,0.00433398972183079,0.477923270998811,0.874888726666324,0.0148735457402705,"521954, 504109"
"Top 10%",2,10,0.849206349206349,0.847883597883598,0.822751322751322,0.0047113603793725,0.480639345133299,0.857070409868309,0.0167494949390803,"455942, 504122"
"Top 10%",2,11,0.854497354497355,0.845238095238095,0.867724867724868,0.00498927039213858,0.499409853359016,0.84181514663021,0.0196418778902771,"499715, 521933"
"Top 10%",2,12,0.682539682539683,0.798941798941799,0.666666666666667,0.00480846530673417,0.511824210307647,0.853450206411225,0.0172207454611243,"455552, 511091"
"Top 10%",2,13,0.884920634920635,0.871693121693122,0.87962962962963,0.00508991660357153,0.46282361962998,0.825258670810587,0.0206915776969379,"499711, 504159"
"Top 10%",2,14,0.85978835978836,0.89021164021164,0.791005291005291,0.00510253507604347,0.463641113870875,0.840311657311646,0.0193363470045832,"455942, 521939"
"Top 10%",2,15,0.882275132275132,0.896825396825397,0.850529100529101,0.00494307095422448,0.454863411672907,0.874560256314694,0.0152082747934762,"499693, 521931"
"Top 10%",2,16,0.853174603174603,0.861111111111111,0.862433862433862,0.00458004988433595,0.509330728084186,0.86204803742356,0.0172523120096704,"521954, 455942"
"Top 10%",2,17,0.875661375661376,0.76058201058201,0.867724867724867,0.00521517506539615,0.501113986425784,0.856574982784028,0.0185172461432274,"521954, 521940"
"Top 10%",2,18,0.863756613756614,0.875661375661376,0.863756613756614,0.00492714747097875,0.509608524813113,0.849938884575383,0.0185881591176709,"521965, 521932"
"Top 10%",2,19,0.871693121693121,0.736772486772487,0.833333333333333,0.00554584553398311,0.537602772976825,0.849137818572337,0.0174540529322608,"455948, 455922"
"Top 10%",2,20,0.923280423280423,0.906084656084656,0.829365079365079,0.00428176200483872,0.445359646782972,0.851478497609358,0.0162094768744387,"521941, 521444"
"Top 10%",2,21,0.945767195767196,0.915343915343915,0.939153439153439,0.00523471939071093,0.492919308698827,0.865081430978841,0.0166844971522591,"521923, 521949"
"Top 10%",2,22,0.80026455026455,0.613756613756614,0.768518518518518,0.00486558530018991,0.507651419602098,0.853839569047904,0.0179213260698417,"455948, 511114"
"Top 10%",2,23,0.939153439153439,0.931216931216931,0.887566137566138,0.00425554995447087,0.510266788123419,0.861214800427442,0.0161420011653856,"511122, 521949"
"Top 10%",2,24,0.895502645502645,0.891534391534391,0.867724867724868,0.00467510355748307,0.469275601613851,0.875633253438429,0.0147110563264079,"511091, 521923"
"Top 10%",2,25,0.846560846560847,0.817460317460318,0.818783068783069,0.00428304391727229,0.483711498955543,0.862257271122958,0.0153765372804022,"521939, 521444"
"Top 10%",2,26,0.878306878306878,0.789682539682539,0.830687830687831,0.00445202155470896,0.475036733429106,0.857947203819988,0.0169584669921419,"521497, 455552"
"Top 10%",2,27,0.915343915343915,0.82010582010582,0.916666666666666,0.00477881195095337,0.495892902584326,0.87537617403659,0.0141875577653619,"455948, 521945"
"Top 10%",2,28,0.906084656084656,0.921957671957672,0.869047619047619,0.0049486222934092,0.489783383742228,0.873771672654432,0.0145243992141094,"521945, 521923"
"Top 10%",2,29,0.83068783068783,0.768518518518519,0.797619047619048,0.00511105985806452,0.515835515444124,0.828527524697881,0.0198891375794063,"504112, 504109"
"Top 10%",2,30,0.855820105820105,0.784391534391534,0.808201058201058,0.00505792662358631,0.448478848626791,0.858461498490946,0.0170218707852811,"521961, 455946"
"Top 10%",2,31,0.832010582010582,0.914021164021164,0.675925925925926,0.00421097201259164,0.49831996217724,0.856433847657306,0.0162928789669197,"521497, 504159"
"Top 10%",2,32,0.87037037037037,0.773809523809524,0.775132275132275,0.00456522218065269,0.527910797461286,0.863570730515049,0.0154561009833045,"521929, 504159"
"Top 10%",2,33,0.873015873015873,0.91005291005291,0.814814814814815,0.0048848255836282,0.454016929357248,0.850787511521752,0.0165051682499254,"521923, 521930"
"Top 10%",2,34,0.915343915343915,0.82010582010582,0.916666666666666,0.00477881195095337,0.495892902584326,0.87537617403659,0.0141875577653619,"455948, 521945"
"Top 10%",2,35,0.847883597883598,0.898148148148147,0.767195767195767,0.00420724424414431,0.478420820549102,0.860543244827519,0.0156768119859188,"521497, 504113"
"Top 10%",2,36,0.943121693121693,0.849206349206349,0.851851851851852,0.00474461736035909,0.482200201310461,0.858496661842798,0.0165291190725985,"455946, 521930"
"Top 10%",2,37,0.906084656084656,0.776455026455027,0.841269841269841,0.00424552592539926,0.49552042115216,0.870831099165891,0.0157561413491667,"521467, 511115"
"Top 10%",2,38,0.855820105820106,0.830687830687831,0.855820105820106,0.00551204476056901,0.493158076508957,0.820361368222528,0.0213224840381836,"455948, 504122"
"Top 10%",2,39,0.781746031746032,0.793650793650794,0.738095238095238,0.00444490294841104,0.4820195085431,0.866134243605069,0.0147388775500554,"504112, 511122"
"Top 10%",2,40,0.879629629629629,0.849206349206349,0.876984126984127,0.0048194776216995,0.504773262694302,0.850431534416228,0.0182512727779171,"455942, 521961"
"Top 10%",2,41,0.846560846560847,0.726190476190476,0.777777777777778,0.00496558195739421,0.462158797753785,0.844444170201186,0.0178009193064497,"521941, 455946"
"Top 10%",2,42,0.89021164021164,0.906084656084656,0.732804232804233,0.00452875788914946,0.462048473543214,0.887083854396773,0.012959626128801,"521497, 499693"
"Top 10%",2,43,0.87037037037037,0.920634920634921,0.866402116402116,0.00488292012021473,0.510588264619803,0.847645492398345,0.0181004626256891,"521931, 521949"
"Top 10%",2,44,0.596560846560847,0.865079365079365,0.554232804232805,0.00505360091678776,0.517686579711605,0.8630045389769,0.0164429583529387,"521923, 455578"
"Top 10%",2,45,0.871693121693121,0.736772486772487,0.833333333333333,0.00554584553398311,0.537602772976825,0.849137818572337,0.0174540529322608,"455922, 455948"
"Top 10%",2,46,0.776455026455027,0.8994708994709,0.715608465608465,0.00494922693934842,0.464741167166198,0.874382174319235,0.0145816741210502,"521933, 521941"
"Top 10%",2,47,0.822751322751323,0.76058201058201,0.798941798941799,0.00497704368955357,0.482293822183441,0.874028987339263,0.0145061743148077,"504109, 521939"
"Top 10%",2,48,0.714285714285714,0.882275132275132,0.666666666666667,0.00441136221229528,0.523056381720297,0.869174283055763,0.0144613859495394,"521931, 511122"
"Top 10%",2,49,0.806878306878307,0.705026455026455,0.78968253968254,0.00450889000923184,0.486492068788317,0.880155749897598,0.0144332705147251,"499715, 511110"
"Top 10%",2,50,0.816137566137566,0.902116402116402,0.784391534391534,0.00436934754655079,0.495692518360918,0.848075829628185,0.0173217115461258,"521945, 499712"
"Top 10%",2,51,0.883597883597884,0.884920634920635,0.907407407407408,0.00448352904357164,0.455014351901254,0.882969082097901,0.0125854173091508,"504115, 521961"
"Top 10%",2,52,0.908730158730158,0.838624338624338,0.880952380952381,0.00510940670751561,0.495462077170498,0.850057603503407,0.0176990449962776,"521965, 521914"
"Top 10%",2,53,0.919312169312169,0.722222222222222,0.921957671957672,0.00571254810948586,0.537974914380286,0.846168162234048,0.0185869862536777,"504112, 504122"
"Top 10%",2,54,0.801587301587301,0.875661375661376,0.703703703703703,0.00460730503597301,0.422656689588861,0.869548681618193,0.0157993122704236,"521933, 504115"
"Top 10%",2,55,0.861111111111111,0.873015873015873,0.862433862433863,0.0043589477652375,0.49629656462097,0.873073385589714,0.01559303821858,"511114, 521939"
"Top 10%",2,56,0.722222222222222,0.652116402116402,0.777777777777778,0.00505951504920278,0.502781405384471,0.842819664056,0.0179126055436454,"499715, 455922"
"Top 10%",2,57,0.903439153439154,0.933862433862434,0.798941798941799,0.00436704962412088,0.510995350681695,0.879179835321534,0.0146690551441642,"511115, 455552"
"Top 10%",2,58,0.902116402116402,0.927248677248677,0.884920634920634,0.00465881445444676,0.46463329188569,0.858068597335098,0.015320407134932,"521941, 521930"
