"cells_per_sample","ari","auc"
1000,0.550542075328756,0.748809523809524
2000,0.800402134085002,0.757142857142857
5000,0.814016430025241,0.652380952380952
10000,0.590811857474099,0.752380952380952
20000,0.767072659145532,0.627380952380952
