"cells_per_sample","sample_id","ari","n_cells_actual"
1000,"87",0.580408447702672,1000
1000,"88",0.616733143531376,1000
1000,"89",0.515454408857807,1000
1000,"92",0.84758810691856,1000
1000,"96",0.68748467112417,1000
1000,"97",0.596305697582276,1000
1000,"103",0.581444782226835,1000
1000,"152",0.600163742710759,1000
1000,"154",0.584958978418009,1000
1000,"167",0.588251328319316,1000
1000,"169",0.589436057339222,1000
1000,"171",0.509985819967018,1000
1000,"173",0.68224393145518,1000
1000,"204",0.615463323807861,1000
1000,"208",0.746850585360413,1000
1000,"211",0.640706566563047,1000
1000,"213",0.62943681462385,1000
1000,"214",0.603976091264937,1000
1000,"215",0.738406258353059,1000
1000,"223",0.652242128624893,1000
1000,"224",0.761988331803996,1000
1000,"229",0.535706437181382,1000
1000,"230",0.718192590639935,1000
1000,"231",0.73119128956542,1000
1000,"232",0.602546542354698,1000
1000,"236",0.655446478979381,1000
1000,"241",0.7268315407919,1000
1000,"245",0.705453956174663,1000
1000,"246",0.708680192866495,1000
1000,"250",0.804697142089067,1000
1000,"251",0.646303202099351,1000
1000,"255",0.701602933280143,1000
1000,"257",0.622291579446922,1000
1000,"258",0.541877015824051,1000
1000,"259",0.547802372997557,1000
1000,"260",0.719104203925196,1000
1000,"264",0.600349385185004,1000
1000,"270",0.634823521033735,1000
1000,"276",0.585788159505958,1000
1000,"288",0.637109008289542,1000
1000,"293",0.620938881030949,1000
1000,"295",0.653709069162278,1000
1000,"297",0.577390447467016,1000
1000,"307",0.612330864757752,1000
1000,"322",0.712935764269631,1000
1000,"334",0.664424594496253,1000
1000,"342",0.767276350033899,1000
1000,"347",0.582367815476926,1000
1000,"358",0.68884876386171,1000
1000,"360",0.693272304909995,1000
1000,"364",0.557295119186835,1000
1000,"373",0.691193552445391,1000
1000,"380",0.51277966707634,1000
1000,"390",0.684766036510481,1000
1000,"406",0.589581921773162,1000
1000,"409",0.599105021467485,1000
1000,"413",0.664017328957502,1000
1000,"428",0.749129921590274,1000
1000,"437",0.584108668136769,1000
1000,"440",0.653102211424574,1000
1000,"442",0.545911903286867,1000
1000,"446",0.659654254891471,1000
1000,"465",0.783528111039608,1000
1000,"501",0.563846045675962,1000
1000,"520",0.692268668277806,1000
1000,"525",0.467415736764156,1000
1000,"528",0.643699716736373,1000
1000,"551",0.886339506985797,1000
1000,"586",0.633517343663762,1000
1000,"587",0.612875321552811,1000
1000,"591",0.616475574673598,1000
1000,"603",0.59091472805297,1000
1000,"608",0.611863030421249,1000
1000,"621",0.66452743216639,1000
1000,"625",0.649900601330277,1000
1000,"628",0.582519370291955,1000
1000,"633",0.682423980693896,1000
1000,"674",0.614221051665483,1000
1000,"679",0.726828348236442,1000
1000,"702",0.561087372940303,1000
1000,"710",0.621319522863092,1000
1000,"711",0.607043012233527,1000
1000,"715",0.634675250307691,1000
1000,"717",0.630458780232481,1000
1000,"719",0.575799838502005,1000
1000,"723",0.55854175564627,1000
1000,"732",0.540440687510671,1000
1000,"737",0.546598345569241,1000
1000,"739",0.563759489525033,1000
1000,"740",0.633451489675091,1000
1000,"747",0.612029217904091,1000
1000,"750",0.523641637784293,1000
1000,"761",0.619096705508043,1000
1000,"767",0.590130786943937,1000
1000,"768",0.52727839108698,1000
1000,"770",0.662320259031499,1000
1000,"771",0.537681544209138,1000
1000,"774",0.630302998446423,1000
1000,"776",0.710496553099186,1000
1000,"777",0.58197097585187,1000
1000,"791",0.611930516509764,1000
1000,"801",0.674207563331617,1000
1000,"804",0.660729647748432,1000
1000,"805",0.606284507665401,1000
1000,"867",0.683724047223494,1000
1000,"868",0.593362992936617,1000
1000,"872",0.596518699104383,1000
1000,"880",0.501115299627905,1000
1000,"894",0.584974859316861,1000
1000,"940",0.680708353768141,1000
1000,"941",0.73695446254721,1000
2000,"87",0.579404594070394,2000
2000,"88",0.624745235863006,2000
2000,"89",0.533008571499234,2000
2000,"92",0.81190933580523,2000
2000,"96",0.684591074111702,2000
2000,"97",0.578648859420672,2000
2000,"103",0.597096942268777,2000
2000,"152",0.584302197700738,2000
2000,"154",0.610661072246875,2000
2000,"167",0.612010980373648,2000
2000,"169",0.608181660920029,2000
