"cells_per_sample","cell_type","n_cells","precision","recall","f1","n_samples_with_type","group","cells_label"
7000,"CD1c+ DCs",4583,0.0413780922012848,0.971197905302204,0.0793744204294172,111,"Rare populations","7K"
7000,"B cells",77025,0.971381249518527,0.982239532619279,0.976780215736778,111,"Major populations","7K"
7000,"CD4+ Tconv",272561,0.884137286899396,0.618202897699964,0.727633113097552,111,"Major populations","7K"
7000,"CD4+ Treg",13660,0.060211250977285,0.8400439238653,0.112368352763184,111,"Rare populations","7K"
7000,"CD8hi",133258,0.719389353986659,0.482342523525792,0.577486680502772,111,"Major populations","7K"
7000,"CD8lo",40611,0.244941129068362,0.538893403265125,0.336798528766765,111,"Major populations","7K"
7000,"NK",92854,0.920738385072238,0.941661102375773,0.931082217891789,111,"Major populations","7K"
8000,"14+ monos",108406,0.858303464755078,0.960906222902791,0.906711464893307,111,"Major populations","8K"
8000,"16+ monos",6645,0.443066016836509,0.90293453724605,0.594441967602913,111,"Rare populations","8K"
8000,"pDCs",2704,0.0218349606558728,0.980029585798817,0.0427181648921165,111,"Rare populations","8K"
8000,"CD141+ DCs",379,0.00250484076957937,0.802110817941952,0.00499408595084768,105,"Rare populations","8K"
8000,"CD1c+ DCs",5311,0.0417500926955877,0.954057616268123,0.0799993684675866,111,"Rare populations","8K"
8000,"B cells",88000,0.963922069907877,0.994022727272727,0.978741020878555,111,"Major populations","8K"
8000,"CD4+ Tconv",311634,0.940655504557502,0.98054448487649,0.960185896559688,111,"Major populations","8K"
8000,"CD4+ Treg",15478,0.602915349490692,0.665396046000775,0.632616707616708,111,"Rare populations","8K"
8000,"CD8hi",152159,0.724384881045914,0.842250540552974,0.778883905237696,111,"Major populations","8K"
8000,"CD8lo",45958,0.230192689227152,0.88613516689151,0.365451486259114,111,"Major populations","8K"
8000,"NK",105270,0.951759018524537,0.890225135366201,0.919964267132634,111,"Major populations","8K"
9000,"14+ monos",121653,0.876364091870344,0.977649544195375,0.924240187126505,111,"Major populations","9K"
9000,"16+ monos",7547,0.38631867781252,0.8021730488936,0.52149194590404,111,"Rare populations","9K"
9000,"pDCs",3133,0.187926743666645,0.939993616342164,0.313231227398426,111,"Rare populations","9K"
9000,"CD141+ DCs",457,0.00255686632820732,0.759299781181619,0.00509657046339135,104,"Rare populations","9K"
9000,"CD1c+ DCs",5950,0.0421772416791317,0.962016806722689,0.0808115033565575,111,"Rare populations","9K"
9000,"B cells",99392,0.970633465428521,0.990653171281391,0.980541143431889,111,"Major populations","9K"
9000,"CD4+ Tconv",349266,0.943203259064203,0.980424662005463,0.961453851175393,111,"Major populations","9K"
9000,"CD4+ Treg",17428,0.51838514987067,0.586470048198302,0.550329788666038,111,"Rare populations","9K"
9000,"CD8hi",170988,0.807284411319105,0.464324981870073,0.589555757699519,111,"Major populations","9K"
9000,"CD8lo",52082,0.316457431598739,0.62048308436696,0.419143968871595,111,"Major populations","9K"
9000,"NK",118897,0.931777259639719,0.944472947172763,0.938082150584343,111,"Major populations","9K"
10000,"14+ monos",135493,0.85876097567233,0.988183891418745,0.91893783930324,111,"Major populations","10K"
10000,"16+ monos",8424,0.38447245112296,0.564933523266857,0.457552158446303,111,"Rare populations","10K"
10000,"pDCs",3385,0.260058167716917,0.95096011816839,0.408424792234981,111,"Rare populations","10K"
10000,"CD141+ DCs",475,0.00282208667654397,0.926315789473684,0.00562703020692125,108,"Rare populations","10K"
10000,"CD1c+ DCs",6610,0.0416065369789562,0.981391830559758,0.07982870116845,111,"Rare populations","10K"
10000,"B cells",110048,0.9699396842292,0.993666400116313,0.981659694418012,111,"Major populations","10K"
10000,"CD4+ Tconv",388933,0.937812168865461,0.985313665849902,0.960976270302395,111,"Major populations","10K"
10000,"CD4+ Treg",19238,0.593111201962388,0.603285164778044,0.598154924496212,111,"Rare populations","10K"
10000,"CD8hi",189850,0.682593184520879,0.474680010534633,0.559959984217378,111,"Major populations","10K"
10000,"CD8lo",57814,0.277534974966483,0.633773826408828,0.386025906435521,111,"Major populations","10K"
10000,"NK",130943,0.954910841118372,0.872730882903248,0.911973250018953,111,"Major populations","10K"
20000,"14+ monos",271246,0.83591726042564,0.99090862169396,0.906838061017064,111,"Major populations","20K"
20000,"16+ monos",16514,0.556248529065662,0.572483953009568,0.56424947776783,111,"Rare populations","20K"
20000,"pDCs",6764,0.0207626446558582,0.986989946777055,0.0406697471543056,111,"Rare populations","20K"
20000,"CD141+ DCs",934,0.00289544969661534,0.99678800856531,0.00577412682612188,110,"Rare populations","20K"
20000,"CD1c+ DCs",13029,0.0399360575233486,0.985570650088265,0.0767616747567012,111,"Rare populations","20K"
20000,"B cells",219619,0.971826201989685,0.99012380531739,0.980889679795567,111,"Major populations","20K"
20000,"CD4+ Tconv",772587,0.906864380308004,0.99581276930624,0.949259447534535,111,"Major populations","20K"
20000,"CD4+ Treg",38504,0.0452941835177076,0.997974236442967,0.086655413595469,111,"Rare populations","20K"
20000,"CD8hi",378877,0.83452014430614,0.466452173132705,0.598419704426825,111,"Major populations","20K"
20000,"CD8lo",116271,0.350918571131654,0.667973957392643,0.460116175394632,111,"Major populations","20K"
20000,"NK",262273,0.954309325524713,0.852420950688786,0.900492202100922,111,"Major populations","20K"
50000,"14+ monos",672404,0.864455248863645,0.974661066858615,0.916256212732344,111,"Major populations","50K"
50000,"16+ monos",41125,0.451926914086996,0.771039513677812,0.569849670677246,111,"Rare populations","50K"
50000,"pDCs",16820,0.0215650168969274,0.971997621878716,0.0421939077045368,111,"Rare populations","50K"
50000,"CD141+ DCs",2359,0.00305358212223298,0.981348028825774,0.00608822001748884,111,"Rare populations","50K"
50000,"CD1c+ DCs",32694,0.0422132996362082,0.978864623478314,0.0809362433929339,111,"Rare populations","50K"
50000,"B cells",545723,0.967825318982416,0.9879737522516,0.977795752112564,111,"Major populations","50K"
50000,"CD4+ Tconv",1910912,0.944646882928735,0.975556697534999,0.959853010193981,111,"Major populations","50K"
50000,"CD4+ Treg",95016,0.563234829607272,0.675602003873032,0.614322353436561,111,"Rare populations","50K"
50000,"CD8hi",939865,0.68065606865017,0.477837774574008,0.561493154230174,111,"Major populations","50K"
50000,"CD8lo",284925,0.248841710252512,0.576249890322015,0.347585669617056,111,"Major populations","50K"
50000,"NK",650154,0.950183780532629,0.874751212789585,0.91090851721879,111,"Major populations","50K"
