"method","auc","lo","hi","label","label_x"
"dioscRi",0.825,0.705590062111801,0.929510155316607,"0.825 [0.706, 0.930]",0.944510155316607
"cytoGPNet",0.652380952380952,0.388065476190476,0.786904761904762,"0.652 [0.388, 0.787]",0.801904761904762
"DeepCNN",0.623809523809524,0.492797619047619,0.769047619047619,"0.624 [0.493, 0.769]",0.784047619047619
"CellCNN",0.597619047619047,0.474970238095238,0.741666666666667,"0.598 [0.475, 0.742]",0.756666666666667
