"","Cluster","AUC","Dataset"
"1",6,0.93,"Wagner et al Breast Cancer"
"2",7,0.92,"Wagner et al Breast Cancer"
"3",8,0.91,"Wagner et al Breast Cancer"
"4",9,0.9,"Wagner et al Breast Cancer"
"5",10,0.89,"Wagner et al Breast Cancer"
"6",11,0.91,"Wagner et al Breast Cancer"
"7",12,0.92,"Wagner et al Breast Cancer"
"8",13,0.92,"Wagner et al Breast Cancer"
"9",14,0.9,"Wagner et al Breast Cancer"
"10",15,0.89,"Wagner et al Breast Cancer"
"11",16,0.9,"Wagner et al Breast Cancer"
