"","Truth","Predicted","PredictedClass"
"163",0,0.631040412028882,1
"174",0,0.725928765768695,1
"954",0,0.363305052320637,0
"962",0,0.479224228221448,0
"979",1,0.858225794632208,1
"1108",1,0.884516157083187,1
"1110",1,0.504863648692669,1
"1112",0,0.755531573531847,1
"1115",1,0.667553512316427,1
"1116",0,0.781305429289218,1
"1117",1,0.796109635977185,1
"1118",1,0.647275188975878,1
"1121",0,0.646710057270318,1
"1123",1,0.950730609321608,1
"1124",0,0.568583173061918,1
"1126",1,0.762292052345062,1
"1128",0,0.41471724510385,0
"1131",1,0.688536460627566,1
"1132",0,0.666615308478241,1
"1134",0,0.807343519345054,1
"1135",1,0.772311355610069,1
"1140",1,0.719490278444206,1
"1147",1,0.493001494021083,0
"1152",0,0.813795441701538,1
"1153",0,0.746108374850412,1
"1155",0,0.745282817992225,1
"1157",1,0.630026145714249,1
"1159",0,0.450197724882815,0
"1161",0,0.652146496888714,1
"1162",0,0.819576613481042,1
"1170",1,0.551012285939079,1
"1176",1,0.631226061260913,1
"1178",1,0.763413207589337,1
"1180",0,0.543722249400892,1
"1183",1,0.625599370080499,1
"1185",0,0.644247728296071,1
"1187",0,0.659615055909464,1
"1190",0,0.770084617550022,1
"1192",1,0.804691937659402,1
"1194",1,0.839634510362224,1
"1195",1,0.730317598057017,1
"1196",0,0.517183328969922,1
"1198",1,0.651823390629406,1
"1200",0,0.409329686878248,0
"1201",0,0.533281365181762,1
"1203",0,0.634818805635547,1
"1204",1,0.569353724520399,1
"1205",1,0.799459006033876,1
"1206",1,0.759213946593799,1
"1208",1,0.691846306545389,1
"1209",0,0.431688296915421,0
"1210",1,0.686204166949631,1
"1212",1,0.624022449081509,1
"1213",0,0.689644743356933,1
"1214",1,0.753719691186439,1
"1216",0,0.59050524026401,1
"1218",1,0.749233928808304,1
"1219",1,0.576093439516593,1
"1227",1,0.698859864218438,1
"1228",0,0.635085549725237,1
"1230",1,0.713500294231277,1
"1231",0,0.696888422616505,1
"1233",1,0.319298764478109,0
