,truth,pred
0,1.0,0.1495090276002884
1,1.0,0.4538585841655731
2,1.0,0.480868935585022
3,1.0,0.303538054227829
4,1.0,0.25522729754447937
5,1.0,0.5659157633781433
6,1.0,0.20144204795360565
7,1.0,0.43978285789489746
8,1.0,0.19776634871959686
9,1.0,0.15274934470653534
10,1.0,0.6076738238334656
11,1.0,0.21098825335502625
12,1.0,0.5629064440727234
13,1.0,0.39343759417533875
14,1.0,0.5988872647285461
15,1.0,0.35889697074890137
16,1.0,0.5021660923957825
17,1.0,0.1909399926662445
18,1.0,0.5966283679008484
19,1.0,0.0597412995994091
20,1.0,0.19910332560539246
21,1.0,0.14840203523635864
22,1.0,0.5506978631019592
23,1.0,0.28047096729278564
24,1.0,0.011380759999155998
25,1.0,0.04766935855150223
26,1.0,0.5473980903625488
27,1.0,0.21001611649990082
28,1.0,0.5196563601493835
29,1.0,0.06013990566134453
30,1.0,0.313332736492157
31,1.0,0.2652977406978607
32,1.0,0.03823825344443321
33,1.0,0.19841963052749634
34,1.0,0.5488700270652771
35,1.0,0.30917924642562866
36,1.0,0.5492596626281738
37,1.0,0.1861095130443573
38,1.0,0.18576759099960327
39,1.0,0.27206844091415405
40,1.0,0.2134539932012558
41,1.0,0.16642291843891144
42,1.0,0.46627357602119446
43,1.0,0.4171195924282074
44,1.0,0.2383483201265335
45,1.0,0.38253772258758545
46,1.0,0.2221251130104065
47,0.0,0.538690984249115
48,0.0,0.41105136275291443
49,0.0,0.4745028018951416
50,0.0,0.22259171307086945
51,0.0,0.09961870312690735
52,0.0,0.20641086995601654
53,0.0,0.17807862162590027
54,0.0,0.25518471002578735
55,0.0,0.02719084918498993
56,0.0,0.10759514570236206
57,0.0,0.09416155517101288
58,0.0,0.036768753081560135
59,0.0,0.2491069734096527
60,0.0,0.062189556658267975
61,0.0,0.021790122613310814
