"","Cluster","AUC","Dataset"
"1",6,0.59,"BioHEART-CT"
"2",7,0.64,"BioHEART-CT"
"3",8,0.66,"BioHEART-CT"
"4",9,0.77,"BioHEART-CT"
"5",10,0.84,"BioHEART-CT"
"6",11,0.83,"BioHEART-CT"
"7",12,0.84,"BioHEART-CT"
"8",13,0.84,"BioHEART-CT"
"9",14,0.83,"BioHEART-CT"
"10",15,0.78,"BioHEART-CT"
"11",16,0.78,"BioHEART-CT"
