"","truth","pred_test"
"86","0",0.774300367994897
"90","1",0.823617799751328
"93","1",0.807964104961605
"101","0",0.898304194945218
"143","1",0.737135567508958
"155","1",0.808112505351883
"165","0",0.863739426108147
"205","1",0.878566326487111
"206","0",0.679496414852699
"209","1",0.894290831090255
"210","1",0.866679692850257
"218","0",0.747336020468684
"222","0",0.876794786196055
"233","0",0.79344982846789
"248","0",0.899192794071477
"262","1",0.819477765674088
"271","0",0.805947829823508
"274","0",0.90562042833503
"304","0",0.929857615974016
"313","1",0.545648081871921
"317","1",0.870114873872154
"332","0",0.592134250792906
"349","0",0.644469545405294
"365","1",0.645334224944905
"387","0",0.717225801145257
"405","0",0.879268765239483
"460","0",0.901233306934904
"505","0",0.704051216359716
"508","1",0.822967623962674
"516","1",0.890217445544716
"524","1",0.906581857239208
"527","1",0.838466590294398
"556","0",0.80444405984629
"567","1",0.809395715627328
"596","1",0.88906753669648
"605","0",0.77998666060276
"616","1",0.712780430780511
"634","0",0.729856305320228
"667","1",0.662902640976916
"668","0",0.864122543051004
"677","0",0.473187783137091
"693","1",0.841987110294026
"707","0",0.781765312541926
"720","0",0.675428414507276
"725","0",0.818248894041857
"736","1",0.571997415308306
"745","1",0.840334355349573
"763","0",0.852596169847265
"778","0",0.665362815006239
"780","0",0.660982422137154
"781","1",0.777011053925615
"794","0",0.719841978731739
"795","1",0.824337331599057
"802","1",0.865887574045903
"863","1",0.774092740297485
"874","0",0.225285002225432
"944","1",0.943081268198601
"965","1",0.919861573452048
