"","Cluster","AUC","Dataset"
"1",6,0.84,"CMV Study SDY519"
"2",7,0.83,"CMV Study SDY519"
"3",8,0.83,"CMV Study SDY519"
"4",9,0.87,"CMV Study SDY519"
"5",10,0.95,"CMV Study SDY519"
"6",11,0.94,"CMV Study SDY519"
"7",12,0.88,"CMV Study SDY519"
"8",13,0.88,"CMV Study SDY519"
"9",14,0.89,"CMV Study SDY519"
"10",15,0.89,"CMV Study SDY519"
"11",16,0.89,"CMV Study SDY519"
