"","truth","pred_test"
"86","0",0.143383857439886
"90","1",0.295090078488713
"93","1",0.159724593259485
"101","0",0.0937703519963838
"143","1",0.158416905493915
"155","1",0.0412923614188537
"165","0",0.149264530768579
"205","1",0.43488007293547
"206","0",0.142567244509536
"209","1",0.19843641385014
"210","1",0.177111326190798
"218","0",0.186928279927386
"222","0",0.164834295398523
"233","0",0.0753740269824153
"248","0",0.0855473406470245
"262","1",0.15925000348098
"271","0",0.103088343722325
"274","0",0.0948451383449223
"304","0",0.0365533517058329
"313","1",0.205784612364535
"317","1",0.179958805400632
"332","0",0.0474662171420172
"349","0",0.455061097529815
"365","1",0.380120102846614
"387","0",0.0988927975639483
"405","0",0.0897784949635599
"460","0",0.0660709071978756
"505","0",0.144685658602582
"508","1",0.445731327001848
"516","1",0.250281303994963
"524","1",0.0767543656076481
"527","1",0.46526907656002
"556","0",0.355075238846089
"567","1",0.129709593161176
"596","1",0.295114649301786
"605","0",0.24077108298818
"616","1",0.305869292811844
"634","0",0.203803997726321
"667","1",0.327228677126606
"668","0",0.160049819330113
"677","0",0.0448421779466973
"693","1",0.179318643496655
"707","0",0.124290371465978
"720","0",0.189341905428073
"725","0",0.309941639849925
"736","1",0.443932887433248
"745","1",0.282265363855509
"763","0",0.120524353222789
"778","0",0.646954337129784
"780","0",0.3045061355701
"781","1",0.0445269261511084
"794","0",0.361156210576493
"795","1",0.140815090675962
"802","1",0.275024028546831
"863","1",0.295475272954129
"874","0",0.117842757023893
"944","1",0.246890362232087
"965","1",0.256319903002977
