"","Cluster","AUC","Dataset"
"1",6,0.66,"BioHEART-CT"
"2",7,0.72,"BioHEART-CT"
"3",8,0.69,"BioHEART-CT"
"4",9,0.71,"BioHEART-CT"
"5",10,0.74,"BioHEART-CT"
"6",11,0.83,"BioHEART-CT"
"7",12,0.79,"BioHEART-CT"
"8",13,0.71,"BioHEART-CT"
"9",14,0.68,"BioHEART-CT"
"10",15,0.8,"BioHEART-CT"
"11",16,0.79,"BioHEART-CT"
