"","pred_study_3"
"86",0.986416932438702
"90",0.968735588965066
"93",0.988455844509959
"101",0.903563233772231
"143",0.935014820070437
"155",0.962615476811517
"165",0.860892915502952
"205",0.992991328944854
"206",0.995786713682576
"209",0.952172343264501
"210",0.98800484256636
"218",0.84471257439154
"222",0.752005613777579
"233",0.953927201108717
"248",0.978806229148785
"262",0.961828254020952
"271",0.572117012822814
"274",0.862766022144077
"304",0.987319890809929
"313",0.935028882304239
"317",0.975019861682217
"332",0.61654498836583
"349",0.964672869849666
"365",0.857370602050416
"387",0.586739353768836
"405",0.929529828115163
"460",0.892899914688879
"505",0.909912544155792
"508",0.99256127912449
"516",0.925586693661413
"524",0.990163112300248
"527",0.945961148232516
"556",0.966587550440862
"567",0.886283975831288
"596",0.983939919179809
"605",0.939649824029718
"616",0.912583717619245
"634",0.929987285755967
"667",0.644854486924644
"668",0.967231087256147
"677",0.64348209189348
"693",0.884552275275096
"707",0.889773667354738
"720",0.620145084265436
"725",0.925610672666604
"736",0.714791623368634
"745",0.980862530196468
"763",0.951250155135454
"778",0.752167740185587
"780",0.701181595590805
"781",0.951102070963829
"794",0.838680377052105
"795",0.947137244323944
"802",0.953172136923282
"863",0.908018042067786
"874",0.443671643199962
"944",0.991668608226136
"965",0.99078814746678
