"","Lambda","AUC","train_mmd","train_recon","train_total","test_mmd","test_recon","Dataset"
"1",0.1,0.83,0.00795646663755178,10.1100845336914,10.1108875274658,0.00821324624121189,8.92069435119629,"BioHEART-CT"
"2",0.2,0.75,0.00775248697027564,10.0647974014282,10.0664014816284,0.00789180677384138,8.86518287658691,"BioHEART-CT"
"3",0.3,0.61,0.00780097488313913,10.1054668426514,10.1077470779419,0.00801030732691288,8.89037704467773,"BioHEART-CT"
"4",0.4,0.69,0.00784399639815092,10.08473777771,10.0878095626831,0.00795057229697704,8.86912631988525,"BioHEART-CT"
"5",0.5,0.5,0.00784481875598431,10.0751876831055,10.0791625976562,0.00794255081564188,8.87778472900391,"BioHEART-CT"
"6",0.6,0.79,0.00784988701343536,10.0387239456177,10.0434303283691,0.00799281895160675,8.81837368011475,"BioHEART-CT"
"7",0.7,0.62,0.0077825509943068,10.0711908340454,10.0765943527222,0.00789771787822247,8.86790561676025,"BioHEART-CT"
"8",0.8,0.5,0.00781782437115908,10.1094484329224,10.1157083511353,0.00794070493429899,8.90876388549805,"BioHEART-CT"
"9",0.9,0.76,0.00777849089354277,10.0664262771606,10.0734033584595,0.00795908831059933,8.85872745513916,"BioHEART-CT"
"10",1,0.67,0.00790913216769695,10.0903491973877,10.0982484817505,0.00802145060151815,8.89528751373291,"BioHEART-CT"
